kyoku,rot,step,dora,tehai
1,3,7,3z,6778p1122345s77z0p
1,3,7,3z,6778p1122345s77z6p
1,3,7,3z,6778p1122345s77z7p
1,1,6,3z,2388m455679p556s1m
1,1,6,3z,2388m455679p556s4m
1,1,8,3p,33455m668p34667s5s
1,1,6,3z,440m134556p3478s6m
1,1,6,1s,135m11240667p78s9s
1,2,6,3z,135m12399p12366s7s
1,1,7,2m,4699m1133p34567s0m
1,3,7,9s,1234m5678p12223s3s
1,1,5,7p,5578m3467p24668s6m
1,3,4,3z,678m12330p12378s6p
1,1,7,9m,2489m6667p34789s3m
1,1,6,7m,220m3466p225678s7m
1,1,7,3m,134556m67p30788s9s
1,3,7,1p,1357889m067p556s2m
1,1,5,4m,223355668p5667s7p
1,1,8,4m,455666m3445677p4p
1,3,7,4s,45m6899p1123467s7p
1,1,9,1z,344m334567p55s11z4p
1,1,3,2m,1237m228p334579s9s
1,1,7,2s,34077m3456p5557s6m
1,3,3,4s,3466m44589p13s77z0m
1,4,7,3p,234m11333445p77s8s
1,1,6,3s,556m67p345566s22z8p
1,1,7,3z,3056777m345p566s8m
1,1,7,2p,99m23468p3077s44z4z
1,3,6,2m,66678m34p3077s77z9m
1,1,7,2p,23468p13777s444z0s
1,3,5,3m,2355m334p345689s4s
1,1,7,9p,3444m56789p6799s9s
1,1,7,8p,335m23478p56777s6m
1,1,7,2m,666799m12356p77s6m
1,3,7,2s,4567m2235p67788s1p
1,1,4,2p,4567m40667p3455s3p
1,3,4,2m,3456m13799p4567s8p
1,3,7,8s,33m234589p33478s9s
1,1,5,2s,34m3444p1223455s6s
1,3,7,3s,234678m40p12345s5m
1,3,9,6p,123m2335678p567s8s
1,1,7,2p,3335m7p11206s|7s|1_11z
1,1,6,6m,4447m357p111355s4p
1,2,7,5s,234m3p124556899s3s
1,3,5,2m,34m456678p24677s8s
1,1,7,3m,246799m678p1145s5m
1,1,7,5s,113468m222p5699s5m
1,1,7,8m,46789m66p224455s0m
1,1,6,3z,1388m466p224789s5m
1,1,4,9m,24789m2356p2246s6s
1,1,7,9m,346m23488p23479s0m
1,3,7,7s,2466m45677p3467s8s
1,3,6,3z,77m122234p30578s9s
1,1,7,8s,23467m3445p4568s7s
1,3,4,9s,334055m677p6789s2m
1,1,4,2m,2347m599p123346s2s
1,1,6,5p,4405m4077p44466s6p
1,1,7,9m,3456m2224p23468s0m
1,1,7,9m,3456m2224p34568s0m
1,1,8,6s,23m234677p67889s5p
1,1,7,3m,3444m56789p6799s9s
1,1,4,3p,2377m23789p6789s2m
1,1,5,2s,1230678m34p2677s3s
1,3,5,9s,5667m457p224567s9s
1,1,3,2m,233m1337p4448s44z2p
1,3,3,4s,340899m566p1389s6m
1,1,7,9m,2555m058999p246s5s
1,3,9,3m,88m34566789p468s3s
1,1,5,8m,2367m34499p30s77z3s
1,1,6,4p,56778m56678p246s8m
1,3,4,3m,345m22246p33357s6m
1,1,4,9s,355m22688p67s|8s|_430s
1,1,5,6p,334m456667p6678s9s
1,1,4,8s,688m1140579p577s9s
1,3,6,3z,2367m455679p066s4m
1,3,6,4s,3446688p344567s6p
1,1,7,2s,23068m11179p788s8s
1,1,7,2s,34079m11179p799s9s
1,3,6,3z,113057m34567p67s8p
1,3,6,3z,113057m34567p67s5p
1,3,7,3m,2345m2357p66667s4p
1,1,7,2s,678m05799p346s77z5s
1,1,8,1p,0567m22p0678s|2p|7_77z
1,1,4,2m,1233467m355p567s3m
1,2,7,1m,2244m45677p0s222z5s
