kyoku,rot,step,dora,tehai
1,3,1,7m,23367m123p357s46z4p
1,2,1,8m,1368m389p557s137z5m
1,2,1,5z,3346m2456p677s13z2m
2,4,1,3z,1478m59p246s5667z4s
1,1,3,5z,12667m3479p3467s4s
1,3,1,1z,468m12556p226s53z1z
2,1,5,1s,234599m35667p78s9s
1,4,4,1p,6689m2345p13556s1p
2,3,5,3s,45567m1136p2378s9m
1,1,5,6p,23357m56p3557s77z1m
2,2,5,3z,55m677789p112s77z7m
3,3,5,2p,2577m27p2357778s2p
1,4,5,7s,34m11788p2367s55z3m
1,2,5,3z,2335667m455p677s8s
1,3,5,3z,4456m5568p35699s4s
1,2,4,5m,5m4558899p34467s8s
1,2,5,5s,45m23p56s3355667z7s
3,4,6,8p,344588m88p556s22z7s
